FF Food description,avg_stdev_diff
"Milk, whole, 3.25% milkfat, with added vitamin D",0.03312227484196338
"Millet, raw",0.35207550395580733
"Mushrooms, brown, italian, or crimini, raw",0.12326018145367652
"Mushrooms, enoki, raw",0.09004982310268479
"Mushrooms, maitake, raw",3.2871373868434026
"Mushrooms, oyster, raw",0.20377982913192608
"Mushrooms, portabella, grilled",0.19332979564089944
"Mushrooms, shiitake, raw",0.17667286204475327
"Mushrooms, white, raw",0.10670432465949366
"Mustard, prepared, yellow",0.05906609051172871
"Nectarines, raw",0.014856059922619392
"Nuts, almond butter, plain, without salt added",0.2017550066101843
"Nuts, almonds",0.11576848167452873
"Nuts, almonds, dry roasted, with salt added",0.18627952242430057
"Nuts, cashew nuts, raw",0.17345941111383256
"Nuts, hazelnuts or filberts",0.21111595148632437
"Nuts, macadamia nuts, raw",0.5942578002003084
"Nuts, pecans",0.1851858191853602
"Nuts, pine nuts, dried",0.2732554939449914
"Nuts, pistachio nuts, raw",0.20014873599628402
"Nuts, walnuts, english",0.203196569673898
"Oats",0.38601560157821724
"Oil, canola",0.5900495412696214
"Oil, corn, industrial and retail, all purpose salad or cooking",0.2659118099364516
"Oil, peanut, salad or cooking",0.23514583865666594
"Oil, safflower, salad or cooking, high oleic (primary safflower oil of commerce)",0.14673165658355153
"Oil, soybean, salad or cooking",0.4588290883751876
"Onion rings, breaded, par fried, frozen, prepared, heated in oven",0.069654416056347
"Orange juice, chilled, includes from concentrate",0.058028550613637146
"Orange juice, raw",0.05198018518385421
"Peanut butter, smooth style, with salt",0.29479514684695624
"Peanuts, all types, raw",0.36539131768762256
"Peas, green, canned, drained solids, rinsed in tap water",0.02975727521643475
"Peppers, sweet, green, raw",0.08116988453937275
"Peppers, sweet, red, raw",0.0553481491038689
"Peppers, sweet, yellow, raw",0.14835842220547393
"Pickles, cucumber, dill or kosher dill",0.008159642325992578
"Pineapple, raw, all varieties",0.1860478881640305
"Pork, fresh, ground, raw",0.054942723928565154
"Pork, fresh, loin, tenderloin, separable lean and fat, raw",0.03282609815749716
"Pork, fresh, loin, top loin (roasts), boneless, separable lean and fat, raw",0.04992772906164563
"Potato flour",0.47803788861606894
"Raspberries, raw",0.08634991766653889
"Rice flour, brown",0.36363173612003086
"Rice flour, white, unenriched",0.2549591120881403
"Rice, brown, long-grain, raw",0.19700684656926643
"Rice, white, long-grain, regular, raw, unenriched",0.12867068657449807
"Salt, table",0.05571361213135006
"Sausage, Italian, pork, cooked",0.14816819812079107
"Sausage, turkey, breakfast links, mild",0.2012971332994802
"Seeds, flaxseed",0.4340054975426082
"Seeds, sunflower seed kernels, dried",0.30366826472442027
"Seeds, sunflower seed kernels, dry roasted, with salt added",1.248542173437029
"Soy flour, defatted",0.5033220678031407
"Soy flour, full-fat, raw",0.600535637303787
"Soymilk (all flavors), unsweetened, with added calcium, vitamins A and D",0.19637440410111429
"Spelt, uncooked",0.12904181331469344
"Spinach, raw",0.29313351329021226
"Strawberries, raw",0.03223853255562347
"Tomato juice, canned, with salt added",0.051974165990787934
"Wheat flour, white, all-purpose, enriched, bleached",0.1701593947660479
"Wheat flour, white, all-purpose, enriched, unbleached",0.22651635690055186
"Wheat flour, white, all-purpose, unenriched",0.15492769106978735
"Wheat flour, white, bread, enriched",0.19466101545879147
"Wheat flour, whole-grain",0.2169543136042063
"Yogurt, Greek, plain, nonfat",0.004501451170623865
"Yogurt, Greek, plain, whole milk",0.04304837125825762
"Yogurt, Greek, strawberry, nonfat",0.013715393062460546
"Yogurt, plain, skim milk, 13 grams protein per 8 ounce",0.06481443610129006
"Yogurt, plain, whole milk, 8 grams protein per 8 ounce",0.07176734690367133
